Country,Region,OrigCountryCount
United States,North America,167
France,Europe,83
United Kingdom,Europe,82
Brazil,South America,78
Germany,Europe,78
Italy,Europe,76
China,Asia,74
Russia,Asia,74
Canada,North America,72
Mexico,South America,71
Spain,Europe,71
Australia,Other,70
India,Asia,69
Japan,Asia,68
South Korea,Asia,66
Poland,Europe,8
Netherlands,Europe,4
South Africa,Other,4
Sweden,Europe,4
Turkey,Europe,4
Venezuela,South America,4
Argentina,South America,2
Colombia,South America,2
Indonesia,Asia,1
